company_name,company_number,status,date_of_creation,postcode,sic_codes,company_type
GREENSTONE INNOVATIONS LTD,16343567,active,2025-03-26,RM1 1JL,74100,ltd
AR PROFESSIONS LIMITED,16346338,active,2025-03-26,RM6 6NB,52243,ltd
ARTS ASTRON LTD,16348385,active,2025-03-27,RM6 4AW,62020,ltd
VENDINGUK LTD,16351676,active,2025-03-28,RM1 2RD,56290,ltd
INFINITY GLOBAL SPORTS MANAGEMENT LTD,16355991,active,2025-04-01,RM5 3HL,"93120, 93199",ltd
N G TILING LTD,16352957,active,2025-03-31,RM1 4SR,43999,ltd
DRIPDROPHQ LIMITED,16351725,active,2025-03-28,RM7 9DA,47710,ltd
DILEK WEAREWE LIMITED,16352368,active,2025-03-30,RM6 6AX,"46900, 47910",ltd
PURPLE TRAVELS AND TOURS LIMITED,16355511,active,2025-03-31,RM2 5SP,"79110, 79120, 79909, 85600",ltd
CNB SOLUTIONS LTD,16355504,active,2025-03-31,RM5 3NQ,33140,ltd
ITCARE CENTER UK LTD,16352875,active,2025-03-31,RM1 3LD,"47410, 47421, 95110, 95210",ltd
EXIMART LTD,16354576,active,2025-03-31,RM6 6AX,47990,ltd
SELITE SOLUTIONS LTD,16355704,active,2025-04-01,RM6 6LA,"41202, 43220",ltd
REMOTLYS LONDON LTD,16358440,active,2025-04-01,RM6 6JL,"64209, 68209",ltd
PAPC LTD,16359377,active,2025-04-02,RM7 0ES,45200,ltd
KHANZADA BUTCHERS LIMITED,16226252,active,2025-02-03,RM3 8TD,47220,ltd
CARIBBEAN TREATZ 758 LIMITED,16360360,active,2025-04-02,RM2 5QU,47110,ltd
68A BYRON ROAD LTD,16359872,active,2025-04-02,RM7 0HL,68209,ltd
SAPNELIS UK LTD,16361490,active,2025-04-02,RM5 3TP,47990,ltd
GURUKHANA LTD,16362401,active,2025-04-02,RM7 9DQ,56103,ltd
AIRTALK BUSINESS LIMITED,16362464,active,2025-04-02,RM6 6XJ,"47429, 61900",ltd
AKTIVE CHILD LIMITED,16361709,active,2025-04-02,RM3 0HU,87900,ltd
DELLTA CONSTRUCTION LTD,16363921,active,2025-04-03,RM5 2QA,"41201, 41202",ltd
EVOLE CLINIC LTD,16318536,active,2025-03-15,RM7 0HH,"96020, 96040",ltd
LEON'S ARENA BAR LTD,16242669,active,2025-02-10,RM7 9QD,46342,ltd
AGL BUSINESS SERVICES LTD,16366195,active,2025-04-04,RM1 1DA,"41202, 43290",ltd
PIRA CONSTRUCT LTD,16366258,active,2025-04-04,RM4 1DL,"41201, 41202",ltd
AMHG DEVELOPMENTS LTD,16366828,active,2025-04-04,RM6 5DS,"41202, 68100",ltd
DREAMLUXE LTD,16367307,active,2025-04-05,RM6 6AX,47910,ltd
DRIVE DYNASTY LTD,16367671,active,2025-04-06,RM2 6GE,45112,ltd
LUO YUZHOUOM LTD,16364457,active,2025-04-04,RM6 6AX,"45320, 45400",ltd
CAFLA LIMITED,16364590,active,2025-04-04,RM1 1RX,56102,ltd
NORTONBURY LTD,16364699,active,2025-04-04,RM6 4DE,70229,ltd
IVY PROPERTY CARE LTD,16210457,active,2025-01-27,RM6 6AX,"43341, 68320, 81100, 81210",ltd
AJOBI INTEGRATED INTERNATIONAL GROUP LIMITED,16372675,active,2025-04-08,RM1 3DL,"06100, 07290, 19201, 46120",ltd
K-DEMS CONSULTING LIMITED,16372820,active,2025-04-08,RM6 6GN,"69201, 70221, 70229, 73120",ltd
BUILD CREATIVE LTD,16373041,active,2025-04-08,RM2 6RX,58210,ltd
MAR&BUILDING LTD,16373718,active,2025-04-08,RM6 4UH,41202,ltd
GGCCHH LIMITED,16374606,active,2025-04-08,RM3 0HY,86210,ltd
COSMOQUINS LTD,16374875,active,2025-04-08,RM7 7LN,"47750, 47990, 96020",ltd
CF STUDIOS LTD,16378169,active,2025-04-09,RM6 4BD,96020,ltd
H&T UK PROPERTY LIMITED,16375206,active,2025-04-09,RM3 8JU,"68100, 68209",ltd
QUIKTRACK LTD,16380125,active,2025-04-10,RM6 5UF,"49410, 52290",ltd
CRIMSON LOTUS HOLDINGS LTD,16376024,active,2025-04-09,RM2 6AU,64209,ltd
SHAJAI ECOMM LIMITED,16378863,active,2025-04-10,RM6 4YX,47910,ltd
FAK4 LIMITED,16377520,active,2025-04-09,RM7 0YU,"47750, 47910",ltd
CERTIFIED FOAM SOLUTIONS LTD,16377510,active,2025-04-09,RM3 0DN,23430,ltd
MOORTHY & CO. PROPERTY LTD,16402273,active,2025-04-23,RM6 4PT,64305,ltd
